product_id,category_code,style_name,body_tone_code,season,status,line_type,popularity_tier,launch_date
NQ-TOP-001,TOP,스퀘어라인 기본티,"STR,WAV,NAT",Y1SS,판매중,BASIC,HERO,2024-03-01
NQ-TOP-002,TOP,브이넥 니트,"STR,WAV,NAT",Y1SS,판매중,BASIC,STEADY,2024-03-01
NQ-TOP-003,TOP,포켓 셔츠,"STR,WAV,NAT",Y1SS,판매중,BASIC,STEADY,2024-03-01
NQ-TOP-004,TOP,오버사이즈 맨투맨,"STR,WAV,NAT",Y1SS,판매중,BASIC,NICHE,2024-03-01
NQ-TOP-005,TOP,집업 후드,"STR,WAV,NAT",Y1SS,판매중,BASIC,NICHE,2024-03-01
NQ-PNT-001,PNT,5-Length 슬랙스,-,Y1SS,판매중,BASIC,HERO,2024-03-01
NQ-PNT-002,PNT,핀턱 와이드,-,Y1SS,판매중,BASIC,STEADY,2024-03-01
NQ-PNT-003,PNT,테이퍼드 데님,-,Y1SS,판매중,BASIC,STEADY,2024-03-01
NQ-PNT-004,PNT,조거 팬츠,-,Y1SS,판매중,BASIC,NICHE,2024-03-01
NQ-CLR-WRM-001,CLR,WRM 퍼스널컬러 베이직 탑,WRM,Y1SS,판매중,BASIC,HERO,2024-03-01
NQ-CLR-COOL-002,CLR,COOL 퍼스널컬러 베이직 탑,COOL,Y1SS,판매중,BASIC,HERO,2024-03-01
NQ-CLR-MUT-003,CLR,MUT 퍼스널컬러 베이직 탑,MUT,Y1SS,판매중,BASIC,HERO,2024-03-01
NQ-CLR-WRM-004,CLR,WRM 퍼스널컬러 니트 가디건,WRM,Y1SS,판매중,BASIC,STEADY,2024-03-01
NQ-CLR-COOL-005,CLR,COOL 퍼스널컬러 니트 가디건,COOL,Y1SS,판매중,BASIC,STEADY,2024-03-01
NQ-CLR-MUT-006,CLR,MUT 퍼스널컬러 니트 가디건,MUT,Y1SS,판매중,BASIC,STEADY,2024-03-01
NQ-OUT-001,OUT,드롭숄더 아우터,"STR,WAV,NAT",Y2SS,판매중,BASIC,HERO,2025-03-01
NQ-OUT-002,OUT,롱 트렌치코트,"STR,WAV,NAT",Y2SS,판매중,BASIC,STEADY,2025-03-01
NQ-OUT-003,OUT,숏패딩,"STR,WAV,NAT",Y2SS,판매중,BASIC,NICHE,2025-03-01
NQ-ACC-BAG-001,ACC,BAG 액세서리,BAG,Y3SS,판매중,BASIC,STEADY,2026-03-01
NQ-ACC-BLT-002,ACC,BLT 액세서리,BLT,Y3SS,판매중,BASIC,NICHE,2026-03-01
NQ-ACC-SCF-003,ACC,SCF 액세서리,SCF,Y3SS,판매중,BASIC,NICHE,2026-03-01
NQ-ACC-CAP-004,ACC,CAP 액세서리,CAP,Y3SS,판매중,BASIC,NICHE,2026-03-01
NQ-ACC-PCH-005,ACC,PCH 액세서리,PCH,Y3SS,판매중,BASIC,NICHE,2026-03-01
NQ-DRS-001,DRS,체형핏 원피스,"STR,WAV,NAT",Y3SS,판매중,BASIC,HERO,2026-03-01
NQ-DRS-002,DRS,니트 원피스,"STR,WAV,NAT",Y3SS,판매중,BASIC,STEADY,2026-03-01
TRD-CLR-01-WRM-001,CLR,톤온톤 니트 셋업,WRM,Y1FW,단종,TREND,STEADY,2024-09-01
TRD-CLR-01-COOL-002,CLR,톤온톤 니트 셋업,COOL,Y1FW,단종,TREND,STEADY,2024-09-01
TRD-CLR-01-MUT-003,CLR,톤온톤 니트 셋업,MUT,Y1FW,단종,TREND,STEADY,2024-09-01
TRD-OUT-01-STR-001,OUT,액티브 반집업 아우터,STR,Y2SS,단종,TREND,STEADY,2025-03-01
TRD-OUT-01-WAV-002,OUT,액티브 반집업 아우터,WAV,Y2SS,단종,TREND,STEADY,2025-03-01
TRD-OUT-01-NAT-003,OUT,액티브 반집업 아우터,NAT,Y2SS,단종,TREND,STEADY,2025-03-01
TRD-TOP-01-STR-001,TOP,원숄더 니트탑,STR,Y2FW,단종,TREND,STEADY,2025-09-01
TRD-TOP-01-WAV-002,TOP,원숄더 니트탑,WAV,Y2FW,단종,TREND,STEADY,2025-09-01
TRD-TOP-01-NAT-003,TOP,원숄더 니트탑,NAT,Y2FW,단종,TREND,STEADY,2025-09-01
TRD-OUT-02-STR-001,OUT,뉴트럴 플리스 아우터(그래놀라코어),STR,Y2FW,단종,TREND,STEADY,2025-09-01
TRD-OUT-02-WAV-002,OUT,뉴트럴 플리스 아우터(그래놀라코어),WAV,Y2FW,단종,TREND,STEADY,2025-09-01
TRD-OUT-02-NAT-003,OUT,뉴트럴 플리스 아우터(그래놀라코어),NAT,Y2FW,단종,TREND,STEADY,2025-09-01
TRD-OUT-03-STR-001,OUT,쿼터집 후드,STR,Y3SS,판매중,TREND,STEADY,2026-03-01
TRD-OUT-03-WAV-002,OUT,쿼터집 후드,WAV,Y3SS,판매중,TREND,STEADY,2026-03-01
TRD-OUT-03-NAT-003,OUT,쿼터집 후드,NAT,Y3SS,판매중,TREND,STEADY,2026-03-01
TRD-ACC-01-CHM-001,ACC,참키링 액세서리,CHM,Y3SS,판매중,TREND,STEADY,2026-03-01
